id,sigla,nome,casa,siglaTipo,descricaoTipo,dataInicio,dataFim
7353368,FPDFB,Frente Parlamentar de Defesa das Fronteiras Brasileiras,CN,COMISSAO_PERMANENTE,Comissão Permanente,2022-03-23,
7360731,FPFSBHVCC,"Frente Parlamentar de Fomento do Saneamento Básico, do Hidrogênio Verde e do Crédito de Carbono",CN,COMISSAO_PERMANENTE,Comissão Permanente,2023-03-17,
7352478,FPRNE,Frente Parlamentar de Recursos Naturais e Energia,CN,COMISSAO_PERMANENTE,Comissão Permanente,2021-06-24,
7359689,,Frente Parlamentar do Empreendedorismo,,ENTE_JURIDICO,Ente Jurídico - não categorizado,,
7353446,FPMATOPIBA,Frente Parlamentar do Matopiba,CN,COMISSAO_PERMANENTE,Comissão Permanente,2022-04-25,
7352022,FPSENN,Frente Parlamentar dos Senadores dos Estados do Norte e do Nordeste,CN,COMISSAO_PERMANENTE,Comissão Permanente,2019-05-22,
7352362,FPBRC,Frente Parlamentar em Apoio ao Consórcio Interestadual de Desenvolvimento do Brasil Central,CN,COMISSAO_PERMANENTE,Comissão Permanente,2021-03-18,
7352473,FPINVESTEBRASIL,Frente Parlamentar em Apoio aos Investimentos Estrangeiros para o Brasil,CN,COMISSAO_PERMANENTE,Comissão Permanente,2021-06-10,
7351934,FPSUDAM,Frente Parlamentar em Apoio à Superintendência do Desenvolvimento da Amazônia,CN,COMISSAO_PERMANENTE,Comissão Permanente,2016-06-30,
7351930,FPDAM,Frente Parlamentar em Defesa da Amazônia Legal,CN,COMISSAO_PERMANENTE,Comissão Permanente,2017-12-11,
7379390,FPDEPMEB,Frente Parlamentar em Defesa da Exploração de Petróleo na Margem Equatorial do Brasil,CN,COMISSAO_PERMANENTE,Comissão Permanente,2025-05-30,
7376565,FPDPP,Frente Parlamentar em Defesa da Polícia Penal,CN,COMISSAO_PERMANENTE,Comissão Permanente,2024-11-06,
7351932,FPJOVEM,Frente Parlamentar em Defesa das Políticas Públicas de Juventude,CN,COMISSAO_PERMANENTE,Comissão Permanente,2019-04-02,
7380739,FPTRB,Frente Parlamentar em Defesa das Terras Raras Brasileiras,CN,COMISSAO_PERMANENTE,Comissão Permanente,2025-09-03,
7351931,FPDEP,Frente Parlamentar em Defesa do Ensino Profissionalizante,CN,COMISSAO_PERMANENTE,Comissão Permanente,2015-06-19,
7369669,FPEpTec,Frente Parlamentar em Favor da Educação Profissional e Tecnológica,CN,COMISSAO_PERMANENTE,Comissão Permanente,2023-07-15,
7351935,FPTGP,Frente Parlamentar para a Transparência dos Gastos Públicos,CN,COMISSAO_PERMANENTE,Comissão Permanente,2015-09-01,
7380939,FPDNB,Frente Parlamentar para o Desenvolvimento da Navegação Brasileira,CN,COMISSAO_PERMANENTE,Comissão Permanente,2025-10-03,
7353369,FPELETROMOBILIDADE,Frente Parlamentar pela Eletromobilidade,CN,COMISSAO_PERMANENTE,Comissão Permanente,2022-03-23,
7352905,FPSCT,Frente Parlamentar pela Segurança de Crianças e Adolescentes no Trânsito,CN,COMISSAO_PERMANENTE,Comissão Permanente,2021-10-29,
7351936,FPVT,Frente Parlamentar pela Valorização do Trabalho,CN,COMISSAO_PERMANENTE,Comissão Permanente,2015-06-16,
7373800,,Frente Parlamentar pelo Brasil Competitivo,,ENTE_JURIDICO,Ente Jurídico - não categorizado,,
7353479,FPCONTROLE,"Frente Parlamentar pelo Controle de Armas e Munições, pela Paz e Pela Vida",CN,COMISSAO_PERMANENTE,Comissão Permanente,2022-04-05,
7352400,FPD,Frente Parlamentar pelo Desarmamento,CN,COMISSAO_PERMANENTE,Comissão Permanente,2021-04-15,2022-04-13
7378754,FPFARMA,Frente Parlamentar pelo Desenvolvimento da Indústria Farmacêutica e da Produção de Insumos Farmacêuticos Ativos no Brasil,CN,COMISSAO_PERMANENTE,Comissão Permanente,2025-04-08,
